id;placed_date;status;code
1;2020-04-21T22:35:50;COMPLETED;Georgia calculate withdrawal
2;2020-04-21T09:32:20;COMPLETED;compress Steel out-of-the-box
3;2020-04-21T11:03:32;PENDING;Concrete
4;2020-04-22T00:29:27;CANCELLED;Investment Account
5;2020-04-21T11:46:17;PENDING;United States of America
6;2020-04-22T01:58:21;CANCELLED;IB Industrial Credit Card Account
7;2020-04-22T05:04:46;CANCELLED;Cotton Egyptian Pound
8;2020-04-21T14:00:50;COMPLETED;Home Loan Account
9;2020-04-21T22:55:06;COMPLETED;Human
10;2020-04-21T09:03:44;CANCELLED;payment
